Ticket,Real,Prediccion_SVM,Confianza,Accion
verificacin ordenes con error de asignacin,Aplicaciones,Aplicaciones,0.680438307069582,Agente IA
sap,DBA,DBA,0.4655310935243233,Agente IA
error orm,Aplicaciones,Aplicaciones,0.4346978999218211,Agente IA
solicitud acceso carpeta sharepoint,ABM,Técnico TI,0.5096465097737228,Agente IA
viticos izc,SAP,Desarrollo de Sistemas y Proyectos Tecnológicos,0.7340332329150248,Agente IA
bloqueo antispam y trellix,Ingenieros TI,Ingenieros TI,0.6235759468676859,Agente IA
pago pendienterevisar posible phishing,Ingenieros TI,Ciberseguridad,0.46258725021879127,Agente IA
aparece pesistentemente,Soporte de Campo,Técnico TI,0.43224685004142094,Agente IA
acceso anexo ordenes de compra,Técnico TI,ABM,0.3028968656163126,Agente IA
consulta por estado de osf de usuario,ABM,Aplicaciones,0.599377955778179,Agente IA
aislacin de monto reclamado en sec,Aplicaciones,Aplicaciones,0.4259309208796136,Agente IA
problemas enviando correos transelectric,Soporte de Campo,Ingenieros TI,0.7352776839850875,Agente IA
notificacin nuevos ingresos,Soporte de Campo,Soporte de Campo,0.5667366481111883,Agente IA
contingencia procesos lecturafacturación,DBA,Soporte de Campo,0.29002671453550405,Agente IA
solicita modificar modulo atencion total pack,Soporte de Campo,Aplicaciones,0.6055366719974568,Agente IA
fe de erratas  notificacin nuevos ingresos,ABM,Soporte de Campo,0.5804356544058821,Agente IA
generación nuevo ambiente de desarrollo uipath,Ingenieros TI,Ingenieros TI,0.5541789322823923,Agente IA
suministro intermitente sistema open,DBA,Aplicaciones,0.7498866096743964,Agente IA
teloot cambio firewall scada site miraflores,TDO,Ingenieros TI,0.42936412350560077,Agente IA
no esta funcionando orm,DBA,Aplicaciones,0.6470516327459036,Agente IA
consulta error en open,MDA,Aplicaciones,0.4062822821244078,Agente IA
acceso cuenta sap,DBA,ABM,0.5829551966967936,Agente IA
sin acceso a electric office,Sistemas GIS,MDA,0.3374223438999935,Agente IA
cuenta open mobile,MDA,DBA,0.5999054906449744,Agente IA
solicitud de toma de imagenes,Soporte de Campo,Soporte de Campo,0.5377413999087945,Agente IA
conexión vpn,Soporte de Campo,Ingenieros TI,0.575458658388446,Agente IA
contraseña de open bloqueada,MDA,DBA,0.5090683648765659,Agente IA
revisar anexo 4914 con problemas,Telecomunicaciones,Soporte de Campo,0.38885353605571465,Agente IA
cambiarclaveosf,DBA,Aplicaciones,0.376388314814981,Agente IA
urgente ayuda con mi clave de acceso a sap gracias,DBA,DBA,0.403416827729043,Agente IA
mci activo fijo 11,ABM,Soporte de Campo,0.5399049841056133,Agente IA
carga tu energa al 100  preparacin de incorporacin estudiante en prctica,Soporte de Campo,Soporte de Campo,0.6475920235242703,Agente IA
problemas para emitir impresiones,Soporte de Campo,Soporte de Campo,0.49337290135491574,Agente IA
borrar registro de seguridad,Soporte de Campo,Soporte de Campo,0.6986878114411615,Agente IA
intermitencia en sap,Soporte de Campo,ABM,0.3401303116544914,Agente IA
acceso visualización scada,ABM,Ingenieros TI,0.43562725355102994,Agente IA
ip  modelo pc,Soporte de Campo,Soporte de Campo,0.5796892099054505,Agente IA
problema de gisred reparto,Técnico TI,Sistemas GIS,0.7154833180328527,Agente IA
acceso coyser,Soporte de Campo,ABM,0.4504248314600683,Agente IA
acceso gisred reparto cparraguez,MDA,Sistemas GIS,0.480116300259997,Agente IA
cambio clave correo,MDA,DBA,0.4404549988187199,Agente IA
ptc 2023737 mensaje de twitter sobre sitio web,Aplicaciones,Ingenieros TI,0.35211030929341747,Agente IA
scada incluir rrvv en despliegue spd1 alim limache,TDO,TDO,0.61745179032861,Agente IA
renovacin alex diaz,Soporte de Campo,Soporte de Campo,0.6578234963610855,Agente IA
solicitud creacin y habilitacin del sistema formulario altas y bajas,ABM,Aplicaciones,0.40283988983855895,Agente IA
problemas ingreso gisred pc,Soporte de Campo,Soporte de Campo,0.5188382924819792,Agente IA
cambio de contraseñas masivas,Soporte de Campo,ABM,0.39145343364451857,Agente IA
orm error en la conexion a la base de datos lucy ulloa,DBA,Aplicaciones,0.5438164143337246,Agente IA
denuncio cnr  página web,Aplicaciones,Aplicaciones,0.7325700878558338,Agente IA
apoyo linares,Soporte de Campo,Soporte de Campo,0.7049886913262605,Agente IA
vpn,Soporte de Campo,Ingenieros TI,0.6793144643875886,Agente IA
3393 mnr reemplazo interruptor 12kv en paño de transformación ct2 se calera  definición señales sitr,TDO,Soporte de Campo,0.37632754680005304,Agente IA
estados de cuenta,ABM,ABM,0.42447218983837826,Agente IA
problemas de acceso eo,Soporte de Campo,Sistemas GIS,0.4909398930300371,Agente IA
clave equipo,MDA,Soporte de Campo,0.7489190027158857,Agente IA
abmgrupal garaya  aretamarxlsm,ABM,Aplicaciones,0.376388314814981,Agente IA
acceso a factigis ffabres,DBA,Sistemas GIS,0.45016630514846684,Agente IA
problemas con acceso po,Sistemas GIS,Soporte de Campo,0.37582396829879433,Agente IA
activacin zwcad 2022,Soporte de Campo,Soporte de Campo,0.6907482451206787,Agente IA
caso reserva extraccin con saldo a favor ley ssbb  producto 1863 luzlinares  sftu,Aplicaciones,Aplicaciones,0.5455402972411872,Agente IA
abm vpn consultores slimstock,Ingenieros TI,Ingenieros TI,0.6831266729269406,Agente IA
problemas ingreso osf,Soporte de Campo,Técnico TI,0.3803955900175339,Agente IA
cuentas caducadas  transelectric,ABM,Ingenieros TI,0.33659897322815396,Agente IA
revisin de cuenta de correo,Soporte de Campo,MDA,0.48676777441890007,Agente IA
recuperación de información,Soporte de Campo,DBA,0.3471593956073044,Agente IA
órdenes no aparecen en equipo,Aplicaciones,Soporte de Campo,0.5663609450083107,Agente IA
ingreso sap personal,DBA,Soporte de Campo,0.3084858542803243,Agente IA
solicitud de acceso a open smart flex de fatima huircan,ABM,DBA,0.3910110628982873,Agente IA
favor retirar caja de monitor instalado a jaragracias,Soporte de Campo,Soporte de Campo,0.5711088374264751,Agente IA
problemas de osf,Soporte de Campo,Soporte de Campo,0.5005403883063384,Agente IA
autorizacion rol zmmvisualizatc para valorizado materiales  informe recepcion,ABM,ABM,0.5732768382652275,Agente IA
error al ingresar,Soporte de Campo,MDA,0.34133516062618935,Agente IA
soporte adaptador de corriente,Soporte de Campo,Soporte de Campo,0.4755746830594573,Agente IA
sacar custodia cheques a fechaagosto,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
sin sistema de nuevo cman luz agro,Soporte de Campo,Aplicaciones,0.6511315089284438,Agente IA
solicita respaldo correo zorobabel cuevas,Ingenieros TI,Soporte de Campo,0.7374071943886101,Agente IA
leonardo esteban alvarado alvarado acceso a sistema saptransacciones pendientes,DBA,ABM,0.449804545456383,Agente IA
urgente error log traspaso sap 1306,SAP,Soporte de Campo,0.364741772907508,Agente IA
revisar vpn,Soporte de Campo,Soporte de Campo,0.7449251500516638,Agente IA
consulta,MDA,MDA,0.5940658749024682,Agente IA
configuracion vpn leonardo gallardo,Ingenieros TI,Soporte de Campo,0.6626998472302219,Agente IA
consulta ayuda correos,Ingenieros TI,Soporte de Campo,0.3921484879664265,Agente IA
reestablecer contraseña scada,Ingenieros TI,Ingenieros TI,0.4455889823649925,Agente IA
msge pop up se ha detectado un ramsomware,Soporte de Campo,Aplicaciones,0.6973179981797267,Agente IA
no tengo acceso a carpeta sharepoint,Técnico TI,Técnico TI,0.4308155542113176,Agente IA
prueba visibilidad de seguimiento,Aplicaciones,Aplicaciones,0.6567821856464442,Agente IA
tester creación pno con api en sftu,Aplicaciones,Aplicaciones,0.5912174384583283,Agente IA
recuperar antecedentes solicitud 2022030980593,Aplicaciones,Aplicaciones,0.5295475623352949,Agente IA
caida de gis a nivel de celulares,Sistemas GIS,Sistemas GIS,0.5750737967027408,Agente IA
acceso sap  ticket 36224  jason giovanni peralta mella,ABM,DBA,0.5364091491354873,Agente IA
datos historicos de infosec,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.5508062131790709,Agente IA
nueva contrasea sap,MDA,MDA,0.6733974192173714,Agente IA
favor ejecutar tfdx 102025,Aplicaciones,Aplicaciones,0.7327869752519924,Agente IA
cambio de número de compañero,Ingenieros TI,Ingenieros TI,0.5645852457081638,Agente IA
acceso sap productivo,Soporte de Campo,ABM,0.362075604984391,Agente IA
reliquidacion sftl  acciones previas,Aplicaciones,Aplicaciones,0.626643534212174,Agente IA
problemas con sigmazight,DBA,Soporte de Campo,0.71892369131242,Agente IA
rv pe 3754820,Aplicaciones,DBA,0.2753967392413545,Agente IA
consulta monitor de carga lecturas aparecen en log de carga pero no se cargaron en osf,Aplicaciones,Aplicaciones,0.7096889949928057,Agente IA
habilitar vpn,Ingenieros TI,Soporte de Campo,0.6037985616295657,Agente IA
ami  cge solicitud alta nuevo usuario ami comercial hes y mdms testprd,ABM,AMI,0.6686451602656072,Agente IA
dbaparral de 4 a 2,DBA,Telecomunicaciones,0.34750981665976965,Agente IA
viaje  solicitud de conexin desde el extranjero  jsanmart  jlegua,Ingenieros TI,Ingenieros TI,0.720165286062203,Agente IA
restablecer acceso a clevest alberto quijada,ABM,MDA,0.5330415096412362,Agente IA
cargar perfil orm a daniel viveros,Aplicaciones,Aplicaciones,0.44908768744581656,Agente IA
log proceso transferencia a sap  no recepcionado,Aplicaciones,Aplicaciones,0.5140417960587406,Agente IA
favor habilitar correos desde bci,Ingenieros TI,Ingenieros TI,0.5530231474212525,Agente IA
ingreso a portal beneficoos medicos,MDA,Aplicaciones,0.3656592893441563,Agente IA
problema al ingresar a eo,Aplicaciones,Soporte de Campo,0.32595852017413485,Agente IA
undeliverable  undeliverable  cambio de clave osf,MDA,MDA,0.7119613833966922,Agente IA
solicitud de rol en linares parral casablanca y linares,ABM,Aplicaciones,0.4609655390578487,Agente IA
habilitacin roaming,Telecomunicaciones,Telecomunicaciones,0.6543236099055332,Agente IA
problemas para acceder a vpn chilquinta,Soporte de Campo,Ingenieros TI,0.60184073074426,Agente IA
urgente sistema osf problemas,Soporte de Campo,Aplicaciones,0.6154315414359792,Agente IA
urgente acceso a solman prd pivote,Ingenieros TI,Ingenieros TI,0.6052058384543094,Agente IA
revision y actualizacion reglas 5 empresas,Aplicaciones,Aplicaciones,0.44701406580128505,Agente IA
solicita clave correo efactura,MDA,MDA,0.3789389208352259,Agente IA
memoria apk clevest workbook  prueba workbook desde la micro sd,Técnico TI,Técnico TI,0.4654303114542824,Agente IA
solicitud equipo  alumna en prctica unidad do,ABM,Soporte de Campo,0.4842212169264366,Agente IA
bloqueo de cuenta ingreso st,DBA,DBA,0.3473870601756029,Agente IA
boleta exenta con iva,Aplicaciones,Aplicaciones,0.5056842936250274,Agente IA
buenas tardes solicito un carpeta para poder escanear desde la impre,Soporte de Campo,Soporte de Campo,0.26633194190931264,Agente IA
usuario reporta anexo con problemas,Soporte de Campo,Telecomunicaciones,0.6951107946756276,Agente IA
ingreso a httpsservicedeskchilquintascl,Técnico TI,Soporte de Campo,0.3332702884124897,Agente IA
pie de firma osf,Actividades Proyectos IMA,Soporte de Campo,0.5517267116636065,Agente IA
cuenta open  mobile  inspector terreno,ABM,ABM,0.45229260626545215,Agente IA
cambio de numero telefónico,MDA,MDA,0.677756775271908,Agente IA
ami edecsa creacin de cuenta en el portal de analticas y gestin,AMI,ABM,0.5114498029159683,Agente IA
des asignacin ticket 77213,Soporte de Campo,Soporte de Campo,0.5210462682971431,Agente IA
tti  urgente revisin carga de maestro de tipos de cambio de moneda en tarprogprd,Técnico TI,Aplicaciones,0.40279973175596595,Agente IA
visualizar documentos lista de anexos me23n usuarios en prd,SAP,Técnico TI,0.49620769687458854,Agente IA
sr81743 chilquinta  vulnerabilidad global protect  entrega plan de trabajo,Ingenieros TI,Soporte de Campo,0.6002505795448967,Agente IA
error log facturacin ln 2003,Aplicaciones,Aplicaciones,0.7429276292944506,Agente IA
ti solicitud apertura indicadores financieros  imds,Soporte APM,Aplicaciones,0.40401790285313965,Agente IA
problema de ingreso a mgs,Desarrollo de Sistemas y Proyectos Tecnológicos,Desarrollo de Sistemas y Proyectos Tecnológicos,0.6159739537286121,Agente IA
sr roberto jazme castro,Aplicaciones,Soporte de Campo,0.36651023191467463,Agente IA
solicitud alertas recaudacin mensajes,Ingenieros TI,Aplicaciones,0.3216317987526127,Agente IA
acceso orm  ticket 72226  andres eduardo ibacache cortez,Soporte de Campo,Soporte de Campo,0.415281496925556,Agente IA
asignacin de clickshare,Soporte de Campo,Soporte de Campo,0.29489535637403136,Agente IA
requerimiento apoyo ejecutivo,Aplicaciones,Soporte de Campo,0.6787060899679508,Agente IA
problemas con outlook  gvarela,Soporte de Campo,Soporte de Campo,0.7348949610414511,Agente IA
sin qa y productivo en sap,Soporte de Campo,DBA,0.4033765596231529,Agente IA
favor estoy bloqueado en open,DBA,DBA,0.5224122922084987,Agente IA
clave meridian de usuario ccaro,ABM,ABM,0.33418334458565707,Agente IA
solicitud de nuevo sitio sharepoint para nueva rea de acceso abierto y conexiones,Técnico TI,Técnico TI,0.45389299321476567,Agente IA
actualizacin requerida vpn gp,Soporte de Campo,Soporte de Campo,0.5520955683470823,Agente IA
bloqueo cuenta ccamposo,MDA,DBA,0.4409572914108593,Agente IA
error sistema de transportes,Aplicaciones,Aplicaciones,0.7270509378673964,Agente IA
osf adicionar rol asistente de servicio al cliente,ABM,Aplicaciones,0.4075500319897381,Agente IA
desbloqueo de cuenta de jpdiaz,MDA,MDA,0.7199265732489956,Agente IA
rdp request,MDA,Ingenieros TI,0.4586037579367272,Agente IA
cambioclavesapewm,DBA,Aplicaciones,0.376388314814981,Agente IA
cierre sesin vdi,Ingenieros TI,Ingenieros TI,0.712525832258977,Agente IA
total pack usuario mmunozv urgente,Soporte de Campo,Soporte de Campo,0.26193818928681983,Agente IA
solicitud de levantamiento,Soporte de Campo,Soporte de Campo,0.5728183171172744,Agente IA
fallas,Soporte de Campo,Desarrollo de Sistemas y Proyectos Tecnológicos,0.5909607952907124,Agente IA
actualización clave de jflorest,Técnico TI,DBA,0.4593574219253764,Agente IA
desbloquear cuenta gisred,MDA,Sistemas GIS,0.31988063659020205,Agente IA
sector operativo incorrecto 45  correcto 46,Aplicaciones,Aplicaciones,0.5996478743267598,Agente IA
ayuda para reactivar este servidor aparentemente caído,Ingenieros TI,Ingenieros TI,0.5944497210392962,Agente IA
acceso plataforma ami ln,AMI,ABM,0.5359278503246977,Agente IA
revisar telfonos en despacho tx miraflores,Soporte de Campo,Soporte de Campo,0.7339480630038069,Agente IA
nuevas cuentas para servicio de cuadro de pagos,Aplicaciones,Aplicaciones,0.7249529879816289,Agente IA
poderes sap y osf,ABM,DBA,0.5708663635072266,Agente IA
cambio de numero telefónico para código de validación de correo,MDA,Ingenieros TI,0.6133515232926755,Agente IA
analisis requerimiento  nuevo despacho electronico,Seguimientos IMA,Seguimientos IMA,0.747953822664469,Agente IA
solicitud equipo empresa,ABM,Soporte de Campo,0.4758753651807462,Agente IA
instalacion sql server  management,Soporte de Campo,Soporte de Campo,0.6964219337776361,Agente IA
botonera click share,Soporte de Campo,Soporte de Campo,0.7041762456066807,Agente IA
cuenta sapewm bloqueada,DBA,MDA,0.48299852345050703,Agente IA
electric office tx,ABM,ABM,0.3997174110185493,Agente IA
usuario mobile deshabilitado meamunoz,DBA,DBA,0.5849990595061108,Agente IA
consulta por correo enviado,MDA,MDA,0.6654897710631196,Agente IA
correo corporativo personas,Ingenieros TI,ABM,0.502604029016089,Agente IA
sin correo of llay llay  daisy castillo alfaro,Soporte de Campo,Soporte de Campo,0.5152975573850324,Agente IA
solicitud de modificacin informacion teams usuario jariassserviciosexternoscl,ABM,Soporte de Campo,0.7115317169563253,Agente IA
asignar licencias powerbi pro,Ingenieros TI,Ingenieros TI,0.6851982968417775,Agente IA
requerimiento sec para campañas de medición 2024,Aplicaciones,Aplicaciones,0.5169955511902152,Agente IA
favor revisar bloqueo cuenta de correo,Ingenieros TI,Ingenieros TI,0.38603246228988897,Agente IA
problemas citrix opedraza,Aplicaciones,Aplicaciones,0.6474045567496352,Agente IA
electric office,ABM,Sistemas GIS,0.5302026085745551,Agente IA
acceso cuenta servicios externos,Técnico TI,Ingenieros TI,0.4057387548912868,Agente IA
monitor osf de integración hesosfpo,Aplicaciones,Soporte de Campo,0.679203719168502,Agente IA
modificaciones chq en autoridad,Aplicaciones,Aplicaciones,0.7429243171117571,Agente IA
seguimiento temas soporte y proyectos epenroz junio 2024,Seguimientos IMA,Seguimientos IMA,0.6970557454895715,Agente IA
modificacin abm4796,Soporte de Campo,Aplicaciones,0.2567024565249986,Agente IA
oficina san antonio,Soporte de Campo,Soporte de Campo,0.6274392040145383,Agente IA
incorporacin eletrans iii  men general de sistemas  facturacin cuadro de pago,Aplicaciones,Aplicaciones,0.7454754951385536,Agente IA
supervisores de filiales sur reportan problemas para conexión vía vpn,Ingenieros TI,Soporte de Campo,0.6290605166378948,Agente IA
abmasignacionderoles  fgutiera  dabarca,ABM,Aplicaciones,0.376388314814981,Agente IA
error en aplicacion open,DBA,DBA,0.3617760875406329,Agente IA
conciliación duplicada en osf,Aplicaciones,Aplicaciones,0.6844270188213047,Agente IA
revisin lv ce diciembre 2023,Aplicaciones,Aplicaciones,0.7071004372465356,Agente IA
pc bloqueado,MDA,Soporte de Campo,0.7016436759991646,Agente IA
consulta usuario tecnored  acabellf,ABM,ABM,0.3461864549809249,Agente IA
problemas de ingreso a power on,Soporte de Campo,Soporte de Campo,0.2934381678054286,Agente IA
sesión pegada en electric office,MDA,Sistemas GIS,0.5103348449973509,Agente IA
acceso a osf,DBA,ABM,0.3940599790516785,Agente IA
acceso orm  ticket 100903  julia de las mercedes cisternas collao,Soporte de Campo,DBA,0.3209281259893301,Agente IA
cmvaras,DBA,Aplicaciones,0.376388314814981,Agente IA
urgente problemas con sharepoint,Ingenieros TI,Soporte de Campo,0.40442375417613546,Agente IA
garantía equipo ejecutivo hp sn 5cg1462g2f  li zhongui  urgente respuesta coordinacion,Soporte de Campo,Soporte de Campo,0.7261334287417647,Agente IA
vpn bloqueada,Soporte de Campo,Ingenieros TI,0.48261852612399125,Agente IA
modificar tarea carga de maestro de personal,Aplicaciones,Técnico TI,0.5457776134170786,Agente IA
soporte  aplicación electric office  nicolas alvarado  edwards peñaloza,Sistemas GIS,Soporte de Campo,0.43722176977248434,Agente IA
desbloqueo de cuenta sap,DBA,DBA,0.42922985116603235,Agente IA
problemas plataforma enerquinta,Aplicaciones,Aplicaciones,0.6422438068094991,Agente IA
actualización clave hsequera,Técnico TI,DBA,0.5579936371634328,Agente IA
versión más antigua de vpn no permite actualizar a la ultima,Soporte de Campo,Soporte de Campo,0.7499722961369732,Agente IA
no recepción de alertas de electrodependiente,Aplicaciones,Aplicaciones,0.5621632350349057,Agente IA
consultas asociadas a osf,Aplicaciones,Aplicaciones,0.31505539894178686,Agente IA
sap,DBA,DBA,0.4655310935243233,Agente IA
problemas en sap correo de visacin en contabilizacin no llega a los remitentes,Soporte de Campo,DBA,0.2696363077454527,Agente IA
problemas con mfa,Soporte de Campo,Ingenieros TI,0.6791715803654931,Agente IA
undeliverable  undeliverable  cambio de clave osf,MDA,MDA,0.7119613833966922,Agente IA
caída de pagina gdocchilquintacl,Aplicaciones,Soporte de Campo,0.3577404063825475,Agente IA
acceso funcin kalm  filiales sur,ABM,Soporte de Campo,0.2465809529861314,Agente IA
observaciones sistema cierres de caja prioridad contingencia,Aplicaciones,Aplicaciones,0.5736576092019154,Agente IA
gisred 20 empalmes  rv encargados de empalmes,Técnico TI,Aplicaciones,0.6847633055469698,Agente IA
acceso orm perfil analista ejecutar script usuario jvargasn,ABM,DBA,0.5547016402611912,Agente IA
reasignar licencias power bi,Ingenieros TI,Soporte de Campo,0.41342100621010786,Agente IA
dte no carga documentos,Aplicaciones,DTE,0.6511377667283319,Agente IA
acceso sharepoint,Soporte de Campo,Técnico TI,0.6083021918278656,Agente IA
log proceso transferencia a sap  no recepcionado,Aplicaciones,Aplicaciones,0.5140417960587406,Agente IA
disponibilidad de vacaciones arturo vsquez alarcon,DBA,ABM,0.23569041095780222,Agente IA
acceso a open filiales,DBA,ABM,0.30476530281074216,Agente IA
solicitud reversin de apellidos,Técnico TI,Aplicaciones,0.38895756142467947,Agente IA
cambio nombre anexo telefonico edificio los andes,Telecomunicaciones,Telecomunicaciones,0.6949207370158405,Agente IA
prdida de datos integracin hes legacy ion,AMI,Ingenieros TI,0.46713474707899144,Agente IA
causales de fallo para autorepuestos,Aplicaciones,Aplicaciones,0.6346846093715034,Agente IA
prioridad habilitar osf,Soporte de Campo,Soporte de Campo,0.5209750941516375,Agente IA
cambio ip canal secundario ssee placilla,Telecomunicaciones,Telecomunicaciones,0.6174077585944513,Agente IA
ayuda con situacin de vpn de angel diaz,Ingenieros TI,Soporte de Campo,0.7180875954851169,Agente IA
reinicio contrasea red,Técnico TI,MDA,0.32610208069452656,Agente IA
abm asignación ticket 4021 patricia yañez leiva,ABM,Soporte de Campo,0.6929606364245378,Agente IA
abmchristopher molina arenasxlsm,ABM,Ingenieros TI,0.32380910786182066,Agente IA
dte reclamados segunda quincena abril 2025  chilquinta,Aplicaciones,DTE,0.2602002269892709,Agente IA
no se actualiza correo con vpn activadousuario kbeltran,Ingenieros TI,Soporte de Campo,0.701668656431524,Agente IA
acceso opensmartflex  ticket 27033  ruben jorge sandoval cornejo,Soporte de Campo,ABM,0.49390808858644314,Agente IA
carga infra scs plus  filiales centro,Aplicaciones,Aplicaciones,0.7285105697700307,Agente IA
cambioclaveewm,DBA,Aplicaciones,0.376388314814981,Agente IA
reinstalacion cortex  lbarrospnb,Soporte de Campo,Soporte de Campo,0.7262318994880065,Agente IA
accesos a sistema gisred,Técnico TI,Sistemas GIS,0.49658779213118337,Agente IA
problemas en publicación nuestranet,Aplicaciones,Soporte de Campo,0.48856258223447524,Agente IA
rendiciones recaudacion externa,Técnico TI,Desarrollo de Sistemas y Proyectos Tecnológicos,0.23855369735111553,Agente IA
error en acceso a sap,Soporte de Campo,Soporte de Campo,0.5062689411079518,Agente IA
revisin de archivos lp,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.489619087598168,Agente IA
abm mdm,ABM,ABM,0.5062568603171328,Agente IA
orm,DBA,Aplicaciones,0.7056729137971649,Agente IA
telcoot habilitacion ruteo enlace de datos se agua santarep dimasa,Telecomunicaciones Operacionales,Telecomunicaciones Operacionales,0.6542102239809068,Agente IA
problemas con anexos telefnicos,Telecomunicaciones,Telecomunicaciones,0.44499439811484115,Agente IA
usuario osf,ABM,DBA,0.5613141341573669,Agente IA
cgeusuario participantes capacitaciones release 24,AMI,AMI,0.6258851067329355,Agente IA
solicito su colaboracin para eliminar 4 cargas repetidas del documento pub006 para dejar 1 solo en el sistema de normas,Aplicaciones,Aplicaciones,0.635451644451162,Agente IA
servidores con intermitencia  clevest,Ingenieros TI,Aplicaciones,0.36736047207294126,Agente IA
solicitud,Aplicaciones,Aplicaciones,0.4402282571463902,Agente IA
pc bloqueado,Soporte de Campo,Soporte de Campo,0.7016436759991646,Agente IA
usuario don víctor manuel fuentes gonzalez indica que no puede accede,MDA,MDA,0.7101289662633578,Agente IA
recordatorio etapa de autoevaluación y evaluación,Ingenieros TI,Aplicaciones,0.509886378119694,Agente IA
contraseña meridian,MDA,Técnico TI,0.5196368303060622,Agente IA
asignacion rol inventario en mandante 210,SAP,Soporte de Campo,0.3799572732742657,Agente IA
